id,text,creation_date,post_id,user_id,user_display_name,score
3684095,The right way to do it would be to assign a `class` with the `display: none` property and then to remove the `class` name when done,2010-08-19 14:21:52.900000 UTC,3522675,5818,,21
3684214,"""Clean All Targets"" doesn't fix this error.  You definitely have to follow the steps detailed here to get rid of the error.",2010-08-19 14:32:49.243000 UTC,2774678,14302,,13
3684247,+1 for the first two paragraphs. Why isn't this the accepted answer instead? :-),2010-08-19 14:35:58.273000 UTC,1900047,385571,,6
3684269,"Then compile the project as a Windows Application, not a Console Application",2010-08-19 14:37:51.283000 UTC,836516,98713,,5
3684322,"but in practice the login info is kept in a cookie marked with the `httponly` attribute to prevent some xss risks, which means it can only be reset from the server (short of manually clearing the cookie)",2010-08-19 14:41:32.610000 UTC,3521757,105929,,29
3684481,"The MVC pattern is orthogonal to ""pretty"" URLs. MVC is about the correct separation of concerns.",2010-08-19 14:53:59.193000 UTC,3522989,1450,,8
3684482,"Yeah I used them in the past, and they will do everything you want from a tree. The only downside I can think of is the length of the names of their respective implementing classes: DefaultTreeModel and DefaultMutableTreeNode. Verbose, but not that its all that important I guess.",2010-08-19 14:54:17.507000 UTC,3522574,421652,,5
3684573,"Also, the design pattern predates the invention of the URL by fifteen years.",2010-08-19 15:01:29.377000 UTC,3522989,1450,,5
3684587,"That's a tuple of tuples, not a list of tuples.",2010-08-19 15:02:15.023000 UTC,3523048,303783,,7
3684619,"@Joa, well, I usually use a tree in some internal code.  SO, that is why I wrote this one the way I did.  Force of habit.  And, I think it is good practice.  I don't feel like you lose anything by having the outer tree structure.  And, it can be easier to understand if you have a concrete tree that you are working with, instead of just nodes.",2010-08-19 15:04:46.267000 UTC,3522481,2598,,5
3684651,I like your variable name for Assembly.,2010-08-19 15:06:39.457000 UTC,1357617,80858,,6
3684707,I like these type of overlooked questions.,2010-08-19 15:11:20.907000 UTC,2922909,118989,,88
3684745,I just watched a guy get a commit toasted because he followed this advice.  When suggesting someone use `rollback` please always include a warning that it permanently removes the latest commit (or pull).  So if you've done a `hg update` (like he had) and that commit is no longer in your working directory then it's gone forever.,2010-08-19 15:14:17.990000 UTC,623087,8992,,107
3684775,"@Eric well I can't speak about languages I haven't used, and this question is specifically about Ruby...",2010-08-19 15:16:51.370000 UTC,3517240,92313,,13
3684850,"Tip # 1:  Whatever may be wrong with your code, don't shorten names using macros.  `#define p printf` is absolutely not a good idea.",2010-08-19 15:22:50.013000 UTC,3523305,151292,,21
3684904,This is rather an interpreter than just a parser.,2010-08-19 15:27:14.390000 UTC,3523323,53114,,7
3684916,"Sure, the basic idea is that x^.5 = sqrt(x), x^.25 = sqrt(sqrt(x)), x^.125 = sqrt(sqrt(sqrt(x))), etc.  With these building blocks, we can say x^.625 = (x^.5)*(x^.125).  We can't express, say, x^.3 exactly, but we can get arbitrarily close.  I implemented this a little differently, but it uses the same concept.",2010-08-19 15:28:17.737000 UTC,3519308,18214,,7
3684978,"src= is a simple browser request, it does not come from server side, but from the client. It carries all cookies and comes from the user IP. That is why ad tracking pixels work. Only way to determine such exploit would be to check the referrer.",2010-08-19 15:32:53.200000 UTC,3522013,179104,,28
3684981,Are you sure you are WorkingHard?,2010-08-19 15:33:07.913000 UTC,3523368,375394,,7
3684983,+1 Pointer arithmetic is only defined for pointers to (complete) *object types*. `void` is an *incomplete type* that can never be completed by definition.,2010-08-19 15:33:09.003000 UTC,3523168,251122,,19
3685067,This is a pretty well thought out golf; I'll see about giving it a go with parser combinators after work ;),2010-08-19 15:39:40.760000 UTC,3523323,22780,,7
3685226,Post what you have,2010-08-19 15:51:18.167000 UTC,3523605,330184,,8
3685414,"If this is Windows and newline is `""\r\n""`, this will in fact `split` between the `\r` and `\n` creating false empty strings.",2010-08-19 16:05:50.423000 UTC,3517108,276101,,6
3685517,I couldn't recognize the subject of a drawing when my daughter was 3. I can't imagine trying to automate code to do it.,2010-08-19 16:15:48.580000 UTC,3523805,250832,,20
3685561,"Don't forget that you can run this from your command line, and it will explain the capabilities of `chomp` or any other command: `perldoc -f chomp`.",2010-08-19 16:20:04.743000 UTC,3523790,55857,,5
3685854,"+1: very interesting answer from insight, thanks for sharing.",2010-08-19 16:44:10.043000 UTC,2451785,260080,,5
3686072,"Just to note that `__version__` is the preferred standard for new code, as recommended by [PEP8](http://www.python.org/dev/peps/pep-0008/). See [Standard way to embed version into Python package?](http://stackoverflow.com/questions/458550/standard-way-to-embed-version-into-python-package)",2010-08-19 17:07:51.403000 UTC,3524247,143804,,11
3686129,The best alternative is to write portable code that will compile anywhere.  Then all you have to worry about is system-specific calls.,2010-08-19 17:13:13.210000 UTC,3524222,14148,,5
3686241,"One way to lessen the brittleness of the Release() method is to use another class with IDisposable as a sync handler.  When you acquire the singleton, you get the handler and can put the code requiring the singleton into a using block to handle the release.",2010-08-19 17:23:09.840000 UTC,7105,93221,,26
3686314,it's Microsoft's new VS licensing scheme. you must pay per loop iteration now.,2010-08-19 17:31:15.340000 UTC,3524342,402169,,5
3686336,"+1: `COALESCE` is ANSI, supported by Postgres, MySQL...  The only caveat is that it doesn't necessarily perform as fast as native syntax.",2010-08-19 17:33:14.520000 UTC,3524035,135152,,9
3686413,"In fact, it's psibolse to raearnrge all but the fsrit and lsat ltteers of a wrod and raiten at lseat smoe snsee. And dha rizn fonetisaizd Ingglish haznt cot on iz dhat it's notoriasly mor difikalt tu rid widhaut dha vizhual kyuz uv dha kurent orthografi.",2010-08-19 17:40:23.883000 UTC,3523947,246886,,8
3686450,You should update your question with this very relevant information.,2010-08-19 17:43:05.173000 UTC,3524222,349130,,6
3686484,Both of those results are correct. I'm not sure where you think the problem is in your example.,2010-08-19 17:45:52.530000 UTC,3524566,52443,,5
3686527,Please show your code as the question is quite incomprehensible.,2010-08-19 17:49:55.127000 UTC,3524636,29407,,12
3686565,"Voters for close... Any suggestions on how I can make it seem more like a ""real question"" to you? Yes, you need to read the whole thing, but this is most definitely a question: Who can write a regex parser/interpreter in the shortest number of keystrokes? Pretty simple, really, even if it's hard to answer. :-)",2010-08-19 17:52:54.853000 UTC,3523323,129655,,10
3686609,"@phyzome If you find the ""Snails"" cumbersome, you aren't using ANYWHERE NEAR enough comments. They should just be a single line above your method header which should be about as big as your method in most cases (a few lines) to provide decent hover text and javadocs.  I guess I'm saying that the problem is not the Snails, it's your reading habits.  Are all those parentheses in the code bothering you as well?",2010-08-19 17:56:43.590000 UTC,95490,12943,,9
3686665,"I'm gonna check that out.  Alternatively, you can type ""foreach"", hit Ctrl-Space, and select the ""foreach - iterate over an array or Iterable"" proposal, and it will generate code from the ""foreach"" template, using the last-referenced Iterable or array variable.",2010-08-19 18:01:57.817000 UTC,3523766,196455,,6
3686718,"Psyche:  It's practice on here to mark questions community wiki if you're asking questions where people answer with their opinions.  Questions and answers that are CW can get badges (most of the time) but no reputation.  Some people have gotten really spun up about other users getting a lot of reputation for ""opinion"" type questions.  I personally don't care, because my SO reputation and 64 cents will buy me a cup of coffee.  But I'm not everyone.",2010-08-19 18:06:16.427000 UTC,3524731,13895,,5
3686736,Unfortunately that project is dead.,2010-08-19 18:08:22.217000 UTC,1785647,191201,,16
3686759,"While this code will generally work, there are some breaking conditions. For example, if the user has more than one keyboard installed and they switch keyboards using the international keyboard key (which only displays if you have more than one keyboard installed). This will throw a UIKeyboardWillShowNotification, even though the keyboard is already shown. The result will be that your textField will be moved up another keyboard height up the screen. This will occur every time the international keyboard key is pressed.",2010-08-19 18:10:37.423000 UTC,2934339,257550,,8
3686837,But of course such a trivial question will get a dozen of answers.,2010-08-19 18:17:34.700000 UTC,3524881,285587,,5
