id	creation_date	post_id	post_history_type_id	revision_guid	user_id	text	comment
146442579	2017-05-23 11:47:28.960000 UTC	44133972	2	6e416897-7721-42c1-9ee6-cff573df91d2	939116	"Actually this process is very well explained in Symfony Documentation: http://symfony.com/doc/current/form/form_dependencies.html

So I updated the way I was calling my form like that:

    $editForm = $this->createForm($form, $item, array(  //WITH SYLIUS
        'sylius_factory_product' => $this->get('sylius.factory.product')
    ));

Instead:

    $editForm = $this->createForm($form, $item); //WIHOUT SYLIUS




Plus, I adapted the configureOptions function like that:

    public function configureOptions(OptionsResolver $resolver)
    {
        $resolver
            ->setDefaults(array(
                'data_class' => 'FrontendBundle\Entity\Book'
            ))
            ->setRequired('sylius_factory_product')
        ;
    }

Instead:

    public function configureOptions(OptionsResolver $resolver)
    {
        $resolver
            ->setDefaults(array(
                'data_class' => 'FrontendBundle\Entity\Book'
            ))
        ;
    }"	
146448096	2017-05-23 11:47:39.840000 UTC	44133980	2	af5b1980-1f9b-4232-8d1a-bfc9615530fe	8031137	"<!-- begin snippet: js hide: false console: true babel: false -->

<!-- language: lang-js -->

    var app = angular.module(""ToDoList"", []);
    app.controller(""myCtrl"", function($scope) {
      $scope.todos = [];
      $scope.addItem = function() {
        $scope.errortext = """";
        if (!$scope.todos) {
          return;
        }
        if ($scope.todos.indexOf($scope.todo) == -1) {
          $scope.todos.push($scope.todo);
          $scope.todo = {};
        } else {
          $scope.errortext = ""This is already in your To Do list list."";
        }

        var x = document.getElementById(""myDate"").value;
        document.getElementById(""demo"").innerHTML = x;




      }
      $scope.removeItem = function(x) {
        $scope.errortext = """";
        $scope.todos.splice(x, 1);
      }
    });

<!-- language: lang-html -->

    <!DOCTYPE html>
    <html>
    <link rel=""stylesheet"" href=""https://www.w3schools.com/w3css/4/w3.css"">
    <script src=""https://ajax.googleapis.com/ajax/libs/angularjs/1.4.8/angular.min.js""></script>

    <body>

      <div ng-app=""ToDoList"" ng-cloak ng-controller=""myCtrl"" class=""w3-card-2 w3-margin"" style=""max-width:400px;"">
        <header class=""w3-container w3-light-grey w3-padding-16"">
          <h3>To Do List</h3>
        </header>
        <ul class=""w3-ul"">

          <li ng-repeat=""x in todos"" class=""w3-padding-16"">
            <h3>Task:</h3>{{x.name}}<br>
            <h3>Content:</h3>{{x.progress}}<br>
            <h3>Date:</h3>{{x.date}}
            <span ng-click=""removeItem($index)"" style=""cursor:pointer;"" class=""w3-right w3-margin-right""><button>Del</button></span></li>
        </ul>
        <div class=""w3-container w3-light-grey w3-padding-16"">
          <div class=""w3-row w3-margin-top"">
            <div class=""w3-col s10"">
              <input placeholder=""Task!"" ng-model=""todo.name"" class=""w3-input w3-border w3-padding"">
            </div>
            <div class=""w3-col s10"">

              <textarea placeholder=""Content Here!"" ng-model=""todo.progress"" class=""w3-input w3-border w3-padding""></textarea>
              <input type=""date"" id=""myDate"" ng-model=""todo.date"" value=""2012-03-21"">
            </div>
            <div class=""w3-col s2"">
              <br>
              <br><br>
              <button ng-click=""addItem()"" class=""w3-btn w3-padding brown-color"">Add</button>
            </div>
          </div>
          <p class=""w3-text-red"">{{errortext}}</p>
        </div>
      </div>

      <script type=""text/javascript"" src=""script.js""></script>

    </body>

    </html>


    <textarea placeholder=""Content Here!"" ng-model=""todo.progress"" class=""w3-input w3-border w3-padding""></textarea>
    <input type=""date"" id=""myDate"" ng-model=""todo.date"" value=""2012-03-21"">
    </div>

<!-- end snippet -->
im trying to do a todo list application i've mostly done all the parts and only problem is the date picker and In date picker date is reduced by 1 and I don't need time followed by the date please help me"	
146448097	2017-05-23 11:47:39.840000 UTC	44133980	1	af5b1980-1f9b-4232-8d1a-bfc9615530fe	8031137	date is reduced by 1 in date picker	
146448098	2017-05-23 11:47:39.840000 UTC	44133980	3	af5b1980-1f9b-4232-8d1a-bfc9615530fe	8031137	<javascript><html><angularjs>	
146517697	2017-05-23 11:50:06.357000 UTC	44134030	2	cd25d5f8-b90d-44a5-aa6e-dcf205bcf183	4040913	"I have a class called Board that contains the following

    public class Board  {

    protected Piece[][] GameBoard = new Piece[8][8];
    ArrayList<Move> BlackBoardmoves = new ArrayList<Move>();
    ArrayList <Move> WhiteBoardmoves = new ArrayList<Move>();
I want to create an entirely new object of Board that has 2 entirely seperate ArrayLists<Moves>
I am a beginner and I've been reading about how to do this for days and I've tried various methods like implementing cloning or serializable.
I've read that the clone interface is broken and that using serializable is going to be much slower so I decided to write my own copy method 

    void copy(Board c)
    {
    

    for(int i =0; i<8; i++)  
    {
    for(int j=0; j<8; j++)
    {
        this.GameBoard[i][j] = c.GameBoard[i][j];
    }
    }

    for(int i=0 ;i<c.BlackBoardmoves.size(); i++)
    {
    this.BlackBoardmoves.add(c.BlackBoardmoves.get(i));
    }

    for(int i=0 ;i<c.WhiteBoardmoves.size(); i++)
    {
    this.WhiteBoardmoves.add(c.WhiteBoardmoves.get(i));
    }
    }


What I'm currently doing when creating each new object is this
       
    Board obj2 = new Board();
    obj2.copy(obj1);

I'm still a sophomore and this is a very small part of my project so I really can't afford to spend more time stuck in this. Thank you a lot:)"	
146517701	2017-05-23 11:50:06.357000 UTC	44134030	1	cd25d5f8-b90d-44a5-aa6e-dcf205bcf183	4040913	Java Deepcloning an object that contains ArrayLists	
146517702	2017-05-23 11:50:06.357000 UTC	44134030	3	cd25d5f8-b90d-44a5-aa6e-dcf205bcf183	4040913	<java><arraylist><cloning>	
146565427	2017-05-23 11:51:50.037000 UTC	44134069	2	c53df161-2130-4846-b79c-e888e531c15d	2581625	"Hi i am working on an app that uses Firebase Cloud Messaging and i am trying to show notification when app receives a message using Firebase Cloud Messaging.
<br>
 **When App is Running**

 1. i can hear notification sound
 2. when i tap on notification it gets me to the correct activity in my case **NotificationActivity.java**

**Now when App is closed not running in background (these are the main issues that need to be resolved and need explanation for this unnatural behaviour)**

 1. I can see the notification but cannot hear notification sound.
 2. when i tap on notification it doesn't opens **NotificationActivity.java** but opens **Splash.java** which is default/launcher activity

Below are the Code Snippets.

Mainfest.xml

  

     <application
            android:allowBackup=""true""
            android:icon=""@mipmap/ic_launcher""
            android:label=""@string/app_name""
            android:roundIcon=""@mipmap/ic_launcher_round""
            android:supportsRtl=""true""
            android:theme=""@style/AppTheme"">
            <activity
                android:name="".Splash""
                android:configChanges=""orientation|keyboardHidden|screenSize""
                android:label=""@string/app_name""
                android:theme=""@style/Theme.AppCompat.NoActionBar"">
                <intent-filter>
                    <action android:name=""android.intent.action.MAIN"" />
                    <category android:name=""android.intent.category.LAUNCHER"" />
                </intent-filter>
            </activity>
            <activity
                android:name="".LoginActivity""
                android:label=""@string/title_activity_login""
                android:windowSoftInputMode=""stateHidden"" />
            <activity
                android:name="".SignupActivity""
                android:windowSoftInputMode=""stateHidden"" />
            <activity
                android:name="".Dashboard""
                android:label=""@string/title_activity_dashboard"" />
    
            <activity android:name=""pk.edu.kiu.jobslocatoer.NotificationActivity""
                android:launchMode=""singleTask""
                android:taskAffinity=""""
                android:excludeFromRecents=""true"">
                <intent-filter>
                    <action android:name=""pk.edu.kiu.jobslocatoer.MESSAGING_ACTIVTY"" />
                    <category android:name=""android.intent.category.DEFAULT"" />
                </intent-filter>
            </activity>
    
            <receiver android:name="".receivers.NotificationReceiver"">
                <intent-filter>
                    <action android:name=""pk.edu.kiu.jobslocatoer.MESSAGING_EVENT"" />
                    <category android:name=""android.intent.category.DEFAULT"" />
                </intent-filter>
            </receiver>
            <activity android:name="".SettingsActivity""></activity>
    
            <service android:name="".services.MessagingService"">
                <intent-filter>
                    <action android:name=""com.google.firebase.MESSAGING_EVENT"" />
                </intent-filter>
            </service>
    
            <service android:name="".services.InstanceIDService"">
                <intent-filter>
                    <action android:name=""com.google.firebase.INSTANCE_ID_EVENT"" />
                </intent-filter>
            </service>
    
    
        </application>


**NotificationReceiver.java**

    public class NotificationReceiver extends BroadcastReceiver {
    
        @Override
        public void onReceive(Context context, Intent intent) {
    
            Intent notify = new Intent(context, NotificationActivity.class);
            intent.setFlags(Intent.FLAG_ACTIVITY_NEW_TASK | Intent.FLAG_ACTIVITY_CLEAR_TASK);
    
            PendingIntent pendingIntent = PendingIntent.getActivity(context, (int) SystemClock.currentThreadTimeMillis(), notify, PendingIntent.FLAG_UPDATE_CURRENT);
            Notification notification = new Notification.Builder(context)
                    .setSmallIcon(R.mipmap.ic_launcher)
                    .setContentTitle(""Titile"")
                    .setContentText(""Text"")
                    .setSound(Settings.System.DEFAULT_NOTIFICATION_URI)
                    .setContentIntent(pendingIntent)
                    .setAutoCancel(true)
                    .build();
    
            NotificationManager notificationManager = (NotificationManager) context.getSystemService(context.NOTIFICATION_SERVICE);
            notificationManager.notify((int) SystemClock.currentThreadTimeMillis(), notification);
        }
    }

**MessagingService.java**

    public class MessagingService extends FirebaseMessagingService {
        @Override
        public void onMessageReceived(RemoteMessage remoteMessage) {
            Log.d(GlobalConfig.TAG, GlobalConfig.getRef(this) + "" notificaiton: "" + remoteMessage.getNotification().getBody());
            sendBroadcast(new Intent(""pk.edu.kiu.jobslocatoer.MESSAGING_EVENT""));
        }
    }"	
146565429	2017-05-23 11:51:50.037000 UTC	44134069	1	c53df161-2130-4846-b79c-e888e531c15d	2581625	Android Notification Intent Not launching the said Activity and Notification Sound Issue	
146565431	2017-05-23 11:51:50.037000 UTC	44134069	3	c53df161-2130-4846-b79c-e888e531c15d	2581625	<android><android-intent><notifications><android-pendingintent>	
146513661	2017-05-23 11:49:56.213000 UTC	44134025	2	58f98c0c-8845-4d2c-b7d1-5403e23da729	324584	"If you don't mind the order of the original array being trashed in the process:

    asort($arr);
    $new_array = array_combine(array_keys($arr), range(0,count($arr)-1));
    ksort($new_array);

Not so bad inside a function, because that uses a copy of the original array unless you pass by reference, so only the order of the locally-function-scoped copy gets trashed

Or even more simply:

    asort($arr);
    $new_array = array_keys($arr);"	
146462396	2017-05-23 11:48:08.277000 UTC	44133991	2	2a6fcc64-3e08-4598-9b8b-357b7dfa2715		"Maybe the asort() function will fit your needs:
http://php.net/manual/de/function.asort.php

Don't forget to pass your array by reference, so this has to be called as is (without an assignment)."	
146518956	2017-05-23 11:50:09.653000 UTC	44134033	2	c21197bd-25f4-406f-b6e8-fe4c4bd4cbce	4016656	"I am trying to validate to make sure no two users with same email ever register twice (meaning only users with unique email address can register).

this is my code in Register Controller
===

    protected function validator(array $data)
        {
            return Validator::make($data, [
                'firstname' => 'required|max:255',
                'lastname' => 'required|max:255',
                'email' => 'required|max:255|unique:users',
                'password' => 'required|min:6|confirmed',
            ]);
        }

Here, I say `email unique:users.`

but when I register new user for the first time and re-register the same user with all different info but same email address. I get this error:

    SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'test@gmail.com' for key 'users_email_unique' (SQL: insert into `users` (...))

I know its a duplicate entry but I want to redirect user to register page and tell that user already exists with this email. How do I do that? 

I tried adding Redirect to the validator function, tried to create my own validator in create function but no luck."	
146518958	2017-05-23 11:50:09.653000 UTC	44134033	1	c21197bd-25f4-406f-b6e8-fe4c4bd4cbce	4016656	RegisterController Validator redirect with error message issue in Laravel 5.4	
146518959	2017-05-23 11:50:09.653000 UTC	44134033	3	c21197bd-25f4-406f-b6e8-fe4c4bd4cbce	4016656	<laravel-5><laravel-5.4>	
