id	title	body	accepted_answer_id	answer_count	comment_count	community_owned_date	creation_date	favorite_count	last_activity_date	last_edit_date	last_editor_display_name	last_editor_user_id	owner_display_name	owner_user_id	parent_id	post_type_id	score	tags	view_count
4729565		<p>I am detail oriented and would like to moderate this site to keep it a clean and fun place to visit everyday.</p>			0	2011-01-18 22:03:54.897000 UTC	2011-01-18 22:03:54.897000 UTC		2011-01-18 22:03:54.897000 UTC	2011-01-18 22:03:54.897000 UTC		171206		171206		6	0		
4729601		"<p>Back when he was in high school, my dad ran for senior class president on the slogan of </p>

<blockquote>
  <p>""Slicer is Nicer"".</p>
</blockquote>

<p>Well, I may certainly be nice too, and that will be tempered with patience, respect and professionalism.  As a professional developer for over 15 years and a technology hobbyist since 1982, I believe you'll find I will do well to keep this community moving forward and bringing the best practices of development to aspiring technologists.</p>"			0	2011-01-18 22:08:01.350000 UTC	2011-01-18 22:08:01.350000 UTC		2011-01-18 22:08:01.350000 UTC	2011-01-18 22:08:01.350000 UTC		3312		3312		6	0		
4729675		<p>I would love an opportunity to assist in continuing to make SO the great place it is. I'm young, but youth is not a measure of character or maturity. I believe that I can contribute to SO as a moderator, by keeping things running smoothly. I also believe that as a moderator, I will have a greater opportunity to learn from those more experienced than me.</p>			0	2011-01-18 22:16:29.163000 UTC	2011-01-18 22:16:29.163000 UTC		2011-01-18 22:16:29.163000 UTC	2011-01-18 22:16:29.163000 UTC		205930		205930		6	0		
4729678		"<pre><code>vote 4 me //i'm kiddin
</code></pre>"			0	2011-01-18 22:16:51.697000 UTC	2011-01-18 22:16:51.697000 UTC		2011-01-18 22:16:51.697000 UTC	2011-01-18 22:16:51.697000 UTC		237681		237681		6	0		
4729691		"<p>I firmly believe that a good moderator is like a good pre-school teacher.  Willing to listen to all, to help others better themselves, be there to arbitrate disagreements and able to learn from their <em>own</em> mistakes.  I may not be the best developer around (there are many before me who have a better claim to that title), but I think I can be fair.</p>

<p>Holy crap, I just compared all the members of this site to pre-school children.  Well, there goes <em>my</em> nomination!</p>"			0	2011-01-18 22:19:03.423000 UTC	2011-01-18 22:19:03.423000 UTC		2011-01-18 22:19:03.423000 UTC	2011-01-18 22:19:03.423000 UTC		437768		437768		6	0		
4729708		<p>I want to put it on my <strike>college application</strike> CV.</p>			0	2011-01-18 22:20:42.057000 UTC	2011-01-18 22:20:42.057000 UTC		2011-01-18 22:20:42.057000 UTC	2011-01-18 22:20:42.057000 UTC		114994		114994		6	0		
4729774		"<p>Just another avid SO lover and proponent throwing his hat in the ring to hopefully continue to  grow and continue to refine the community and the invaluable intellectual resource that is StackOverflow.</p>

<p>One merit I would say proves my dedication and love of this place is my receiving the designation as the Top ""Top New User"" my joining week.</p>

<p>Thanks!</p>"			0	2011-01-18 22:27:33.187000 UTC	2011-01-18 22:27:33.187000 UTC		2011-01-18 22:27:33.187000 UTC	2011-01-18 22:27:33.187000 UTC		555384		555384		6	0		
4729787		"<p>Few reasons:</p>

<ul>
<li>I offer help more often than ask for it</li>
<li>I help others by formatting/formulating better questions (and answers as well)</li>
<li>I often amend my own questions and answers to improve them</li>
<li>I support several StackExchange sites (although Stackoverflow is THE ONE)</li>
<li>I'm close to moderator tools (just shy of 10k)</li>
<li>I often revisit my questions and answers to provide additional insights</li>
</ul>

<p>Oh did I mention that <strong>I also help others correctly format/formulate their questions</strong>? Basically I'm helping them get better help by other means and not just by answering their questions.</p>"			0	2011-01-18 22:28:57.573000 UTC	2011-01-18 22:28:57.573000 UTC		2011-01-18 23:22:53.480000 UTC	2011-01-18 23:22:53.480000 UTC		75642		75642		6	0		
4729878		"<p>I promise my activity as SO moderator will be on par with that of any other Romanian politician.</p>

<p>Hmm... Is this thing working?</p>"			0	2011-01-18 22:38:56.263000 UTC	2011-01-18 22:38:56.263000 UTC		2011-01-18 22:38:56.263000 UTC	2011-01-18 22:38:56.263000 UTC		321468		321468		6	0		
4730004		"<p>Real name on the line. Been in IT since 1986 and answering questions since 1997 on various sites including the hyphened one where I have been zone advisor for many years.   </p>

<p>In the 10 months I have been here, I have enjoyed gaining enough rep to help edit question and would be happy to give more assistance since that is what I like to do in general, help people.  </p>

<p>I am fair, level-headed, tolerant and patient with people who's first language (as in my case) is not English - ditto with people who's first language IS English ;)  </p>

<p>I am critical and can receive constructive criticism. It will be interesting to see if the SO community feel I am too tainted with hyphens...</p>

<p>Best regards<br>
Michel Plungjan</p>"			0	2011-01-18 22:55:00.247000 UTC	2011-01-18 22:55:00.247000 UTC		2011-01-18 22:55:00.247000 UTC	2011-01-18 22:55:00.247000 UTC		295783		295783		6	0		
