id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
4742863,,"SlimDX is an MIT-licensed, open-source framework that allows developers working with managed languages like C# and IronPython to leverage DirectX and many of Microsoft's other gaming-related multimedia APIs.",,,0,,2011-01-20 02:14:32.800000 UTC,,2011-01-20 02:14:32.800000 UTC,2011-01-20 02:14:32.800000 UTC,user197015,,user197015,,,4,0,,
5062416,,Celerity is a JRuby wrapper around HtmlUnit – a headless Java browser with JavaScript support. It provides a simple API for programmatic navigation through web applications. Celerity aims at being API compatible with Watir.,,,0,,2011-02-21 04:49:10.940000 UTC,,2011-02-21 04:54:07.800000 UTC,2011-02-21 04:54:07.800000 UTC,user479911,,user479911,,,4,0,,
5130475,,"Ramaze is a simple, light and modular open-source web application framework written in Ruby.",,,0,,2011-02-26 23:38:37.057000 UTC,,2011-02-27 00:08:46.880000 UTC,2011-02-27 00:08:46.880000 UTC,user290102,,user290102,,,4,0,,
5304008,,WebMachine is an Erlang framework for creating RESTful Web Services using Erlang/OTP best practices.,,,0,,2011-03-14 20:20:45.170000 UTC,,2011-03-14 20:44:11.377000 UTC,2011-03-14 20:44:11.377000 UTC,user177800,,user177800,,,4,0,,
5354120,,TCP/IP (Transmission Control Protocol/Internet Protocol) is the basic communication language or protocol of the Internet. It can also be used as a communications protocol in a private network (either an intranet or an extranet).,,,0,,2011-03-18 15:24:37.813000 UTC,,2011-03-18 15:27:51.537000 UTC,2011-03-18 15:27:51.537000 UTC,user614868,,user614868,,,4,0,,
5362330,,"Smart GWT is a GWT-based framework that allows you to not only utilize its comprehensive widget library for your application UI, but also tie these widgets in with your server-side for data management",,,0,,2011-03-19 13:21:57.987000 UTC,,2011-03-23 08:51:08.977000 UTC,2011-03-23 08:51:08.977000 UTC,user614868,,user614868,,,4,0,,
5399042,,Questions relating to development on the subject of all variants of poker.,,,0,,2011-03-22 23:16:38.970000 UTC,,2011-07-26 21:59:34.007000 UTC,2011-07-26 21:59:34.007000 UTC,user806549,,user806549,,,4,0,,
5410996,,"A class within System.Windows.Automation; represents a UI Automation element in the UI Automation tree, and contains values used as identifiers by UI Automation client applications.",,,0,,2011-03-23 20:07:53.303000 UTC,,2011-03-23 20:07:53.303000 UTC,2011-03-23 20:07:53.303000 UTC,user1228,,user1228,,,4,0,,
5700288,,"Version 4 and below of what is now called Adobe Media Server, a server that uses the RTMP protocol to receive and deliver streaming audio and video.",,,0,,2011-04-18 08:27:38.163000 UTC,,2014-10-16 20:40:39.680000 UTC,2014-10-16 20:40:39.680000 UTC,user773737,,user773737,,,4,0,,
5704858,,A WPF UI control that can host paginated FixedDocument content such as an XpsDocument.,,,0,,2011-04-18 15:01:01.240000 UTC,,2011-04-18 15:01:01.240000 UTC,2011-04-18 15:01:01.240000 UTC,user1228,,user1228,,,4,0,,
5708321,,"Messaging Application Programming Interface (MAPI) is a messaging architecture and a Component Object Model based API for Microsoft Windows. MAPI allows client programs to become (e-mail) messaging-enabled, -aware, or -based by calling MAPI subsystem routines that interface with certain messaging servers.",,,0,,2011-04-18 20:11:54.333000 UTC,,2011-04-18 20:22:32.683000 UTC,2011-04-18 20:22:32.683000 UTC,user683576,,user683576,,,4,0,,
6365558,,"dyld, the Dynamic Link Editor, is the binary loader for Darwin (Mac OS X). Questions about dyld typically involve shared libraries being unavailable at link-time, or unavailable at runtime.",,,0,,2011-06-15 23:16:37.667000 UTC,,2011-06-16 01:31:50.290000 UTC,2011-06-16 01:31:50.290000 UTC,user149341,,user149341,,,4,0,,
6369461,,"A permalink, or permanent link, is a URL that points to a specific blog or forum entry after it has passed from the front page to the archives.",,,0,,2011-06-16 09:08:17.363000 UTC,,2011-06-16 09:15:43.617000 UTC,2011-06-16 09:15:43.617000 UTC,user757425,,user757425,,,4,0,,
6526902,,Questions in this tag are only for questions related to the PCI Local Bus standard which is a computer bus for attaching hardware devices in a computer.,,,0,,2011-06-29 20:33:46.643000 UTC,,2011-06-29 20:59:30.790000 UTC,2011-06-29 20:59:30.790000 UTC,user195488,,user195488,,,4,0,,
6699001,,"Preon aims to provide a framework for dealing with binary encoded data; or more specifically, it aims to deal with situations in which bytes are considered to be overkill.",,,0,,2011-07-14 19:40:11.233000 UTC,,2011-07-15 00:34:40.987000 UTC,2011-07-15 00:34:40.987000 UTC,user177800,,user177800,,,4,0,,
7117264,,Questions related to the Java Excel API library: http://jexcelapi.sourceforge.net/,,,0,,2011-08-19 05:19:43.733000 UTC,,2011-08-19 08:48:43.903000 UTC,2011-08-19 08:48:43.903000 UTC,user41871,,user41871,,,4,0,,
