id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
683922,,<p>If you rewrite</p> <pre><code>for( i = 0; i &lt;= (max - 1); i++ ) { for( j = 0; j &lt;= (max - 1); j++) { </code></pre> <p>as</p> <pre><code>for( i = 0; i &lt; (max - 1); i++ ) { for( j = 0; j &lt; max; j++) { </code></pre> <p>it should work. The first dimension of your grid is only 8.</p>,,,0,,2009-03-25 23:24:44.210000 UTC,,2009-03-25 23:24:44.210000 UTC,,,,Andy Mikula,58114,683772,2,0,,
676974,,<p>yes the write command. And the open command to open the file. Something like this if my rusty FORTRAN memory serves:</p> <pre><code>OPEN(UNIT=1 FILE=FNAME STATUS='NEW') WRITE(UNIT=1FMT=*) your data </code></pre> <p>Your other option is to simply write to stdout (unit=*) and the redirect the output from the command line (eg: $ myfortranprogram > output.txt).</p>,,,0,,2009-03-24 11:19:20.343000 UTC,,2009-03-24 11:19:20.343000 UTC,,,,Bryan Oakley,7432,676920,2,0,,
100049,,<p>The technology used is usually not matter of choice and especially in a big company you don't have many options. </p> <p>If I were able to choose a technology in Java I would pick Wicket. I have been using Spring MVC and it is good but Wicket has a neat features that Spring MVC has not: server-side state management and encapsulation rich component model no unnecessary XML mapping files - just pure Java and HTML. </p>,,,0,,2008-09-19 06:29:53.460000 UTC,,2008-09-19 06:29:53.460000 UTC,,,,Petr Macek,15045,100001,2,2,,
253764,,<p><a href= http://msdn.microsoft.com/en-us/library/cc309370.aspx rel= nofollow >The MSDN documentation for Policy Injection</a> has a pretty clear explanation:</p> <blockquote> <p>Applications include a mix of business logic and crosscutting concerns and the two are typically intermingled—which can make the code harder to read and maintain. Each task or feature of an application is referred to as a concern. Concerns that implement the features of an object within the application such as the business logic are core concerns. Crosscutting concerns are the necessary tasks features or processes that are common across different objects—for example logging authorization validation and instrumentation. The purpose of the Policy Injection Application Block is to separate the core concerns and crosscutting concerns.</p> </blockquote> <p>Simply put the PI block lets developers define a set of policies that specify the behavior of objects in the system. So your core business logic such as the code that calculates profit per unit in a fiscal year (one concern) is separated from the logging of that execution of logic (another but more often used concern). </p> <p>The same documentation says that the PI block is <em>not</em> AOP because:</p> <ul> <li>It uses interception to enable only pre-processing handlers and post-processing handlers. </li> <li>It does not insert code into methods. </li> <li>It does not provide interception for class constructors. </li> </ul> <p>So trying to look at PI from an AOP perspective can muddy the waters a bit.</p>,,,0,,2008-10-31 14:44:04.403000 UTC,,2008-10-31 14:44:04.403000 UTC,,,,Robert S.,7565,73487,2,2,,
174415,,<p>You can use the TableLayoutPanel and set column width at x% each this way you will have the screen split in 2. The TableLayoutPanel must be Dock to fill all the form or Anchor.</p> <p>The TableLayoutPanel can contain other panel. OR you can use simply your panel and use Anchor (click the panel and go in the Properties panel of VS).</p>,,,0,,2008-10-06 14:05:07.810000 UTC,,2008-10-06 14:05:07.810000 UTC,,,,Daok,13913,174355,2,3,,
153142,,<p>I think the distinction is that if there is anything at all that a user might be able to do in the application while the dialog is shown then it should not be modal. This includes copy/paste actions. Personally I would prefer it if file/open and print dialogs weren't modal either. I think modal dialogs are a sign of weak design a necessary evil to get code out the door quickly.</p>,,,0,,2008-09-30 14:02:47.550000 UTC,,2008-09-30 14:02:47.550000 UTC,,,,Joeri Sebrechts,20980,152938,2,0,,
651389,,<p>Like others have pointed out there generally isn't some arbitrary number of methods at which point I'll say That's too many methods! Sometimes the opposite can be just as bad such as when an object has a monolithic do-everything method that spans hundreds of lines. </p> <p>That being said if I open up a source file I haven't looked at before and see more than 10-20 methods I will probably scan through it to see if it can't be re-factored in some way. </p>,,,0,2009-03-16 17:33:43.957000 UTC,2009-03-16 17:33:43.957000 UTC,,2009-03-16 17:33:43.957000 UTC,,,,devonrt,52558,651346,2,1,,
18762,,<p>You might want to look at using the shadow utility. This allows you to essentially proxy into an existing remote desktop session. You could log into the console of the machine with the account you need then users could open non-console remote desktop sessions to the machine (or to another machine) then use shadow to connect to the same console session. The users will have to be in the administrators group on the machine.</p> <p>Although this might be as simple as telling people not to use the console session when logging into the machine using remote desktop.</p>,,,0,,2008-08-20 20:38:09.067000 UTC,,2008-08-20 20:38:09.067000 UTC,,,,Wedge,332,18719,2,0,,
103828,,<p>You can edit boot.ini with the maxmem option:</p> <p><a href= http://support.microsoft.com/default.aspx?scid=kb;en-us;833721 rel= nofollow >http://support.microsoft.com/default.aspx?scid=kb;en-us;833721</a></p>,,,0,,2008-09-19 17:19:19.223000 UTC,,2008-09-19 17:19:19.223000 UTC,,,,Kris K.,4281,103806,2,1,,
15397260,,<p>Example python code obviously not perfect but does show how to do a lazy iteration. Memory usage is O(number of items served) and for time multiply by a log of that.</p> <pre><code>import heapq def power_seq(min_b min_p): heap = [] in_heap_table = {} cur_b cur_p = min_b min_p heapq.heappush(heap (power_value(cur_b cur_p) cur_b cur_p)) in_heap_table[power_value(cur_b cur_p)] = True while True: power cur_b cur_p = heapq.heappop(heap) yield powercur_b cur_p new_b = cur_b + 1 new_p = cur_p + 1 if power_value(new_b cur_p) not in in_heap_table: heapq.heappush(heap (power_value(new_b cur_p) new_b cur_p)) in_heap_table[power_value(new_b cur_p)] = True if power_value(cur_b new_p) not in in_heap_table: heapq.heappush(heap (power_value(cur_b new_p) cur_b new_p)) in_heap_table[power_value(cur_b new_p)] = True # Can be made O(log p) if we want. def power_value(bp): power = 1 while p &gt;= 1: power = power*b p = p-1 return power def main(): count = 0 for tup in power_seq(22): print tup count += 1 if count &gt; 30: break if __name__ == __main__ : main() </code></pre>,,,0,,2013-03-13 21:55:12.353000 UTC,,2013-03-13 22:27:21.687000 UTC,2013-03-13 22:27:21.687000 UTC,,-1,user2167483,,15379346,2,1,,
