id,tag_name,count,excerpt_post_id,wiki_post_id
149358,announcement,0,69362460,69362459
2136,regsvr32,256,10051236,10051235
8287,rpg,256,7080550,7080549
9136,dbexpress,256,7663373,7663372
9213,multiple-domains,256,22931444,22931443
11107,menustrip,256,47237574,47237573
15213,fileserver,256,9275976,9275975
25272,bad-alloc,256,14261589,14261588
34059,pitch,256,37258061,37258060
37612,winrar,256,13178390,13178389
41229,bin-packing,256,21865697,21865696
45833,adaboost,256,10243949,10243948
62189,nslocale,256,13765847,13765846
65182,dbal,256,27906512,27906511
66910,qbytearray,256,11935134,11935133
67672,mmu,256,5598781,5598780
79720,lpsolve,256,17310075,17310074
92418,liferay-aui,256,17009161,17009160
94399,opengl-es-3.0,256,17902267,17902266
95028,charindex,256,18394984,18394983
106595,scala-reflect,256,37520072,37520071
115366,citrus-framework,256,33215717,33215716
115545,selenide,256,33372077,33372076
119618,laravel-valet,256,37136241,37136240
135519,google-cloud-scheduler,256,53181956,53181955
149380,yolov4,256,71612114,71612113
1906,numerical,512,9845757,9845756
35545,claims,512,51760265,51760264
45610,blackberry-eclipse-plugin,512,8594712,8594711
48672,static-code-analysis,512,22877877,22877876
70897,mixpanel,512,8657182,8657181
93368,pfquery,512,17343332,17343331
98777,couchbase-lite,512,20505257,20505256
153625,angular13,512,71786372,71786371
7721,flashdevelop,768,5296255,5296254
9485,yuv,768,10684680,10684679
16118,integral,768,12089990,12089989
63353,galaxy,768,5033069,5033068
84404,rails-i18n,768,13219663,13219662
86535,azure-media-services,768,24619370,24619369
92962,z3py,768,17103356,17103355
106731,multisite,768,25773820,25773819
115034,micropython,768,32921296,32921295
13651,unit-of-work,1024,11223975,11223974
41749,django-south,1024,6438073,6438072
52371,windows-applications,1024,25912235,25912234
69189,extjs3,1024,6908744,6908743
96158,dart-polymer,1024,19381001,19381000
102665,stackexchange.redis,1024,22793898,22793897
112143,cucumber-java,1024,30392590,30392589
10188,sha,1280,9610079,9610078
25549,uitoolbar,1280,5479912,5479911
41343,biopython,1280,8556278,8556277
43642,wif,1280,4550986,4550985
53808,delete-operator,1280,22765763,22765762
87121,fluentd,1280,14035315,14035314
3107,app-config,3072,9030260,9030259
16611,itextsharp,3840,3936251,3936250
104564,android-relativelayout,3840,23878937,23878936
1966,comments,6144,7576964,7576963
69969,css-animations,6912,10417395,10417394
2848,boolean,11264,4913456,4913455
8746,prolog,13056,3948737,3948736
34480,neo4j,22016,4926695,4926694
30824,crowd,1,6065411,6065410
57678,curl-language,1,9874072,9874071
69489,design-debt,1,6176723,6176722
75344,jscc,1,8352654,8352653
80813,bpgsql,1,10859126,10859125
83474,kmem,1,12198968,12198967
84273,korundum,1,12828883,12828882
86712,startup.cmd,1,13837168,13837167
86788,llvm-3.1,1,13866092,13866091
86893,slimpicker,1,13929486,13929485
86990,tracekit,1,13975282,13975281
87277,mapi-audiocopy,1,14117646,14117645
87278,mapi-audiopaste,1,14117652,14117651
87904,ryz,1,14427246,14427245
87955,framejs,1,14450032,14450031
87989,topcased,1,14497586,14497585
88060,tridion-events,1,14520018,14520017
88091,glomosim,1,14517371,14517370
88103,glue-framework,1,14558706,14558705
88245,jquery-checktree,1,14604442,14604441
88290,modula-3,1,14633217,14633216
88370,better-assert,1,15513602,15513601
88496,thinlet,1,14743298,14743297
88579,joone,1,14781463,14781462
88636,gwt-preprocessor,1,14802238,14802237
88665,quick-junit,1,14879462,14879461
88710,clif,1,14837474,14837473
88776,metrofax,1,14878045,14878044
88782,ultimategrid,1,14878555,14878554
88795,ice-validation,1,14903811,14903810
88817,bootstrap-protocol,1,14904739,14904738
88913,fitlibraryweb,1,14962924,14962923
88915,pushmobi,1,14962855,14962854
88948,eval-paste,1,14962703,14962702
89131,crossroads-io,1,15066061,15066060
89235,nucleon,1,15376557,15376556
