id	display_name	about_me	age	creation_date	last_access_date	location	reputation	up_votes	down_votes	views	profile_image_url	website_url
119	Jesse Ezell	test		2008-08-02 06:16:23.953000 UTC	2014-05-19 08:08:35.100000 UTC		189	1	0	137		http://www.iserviceoriented.com
407	Grant			2008-08-05 13:47:10.857000 UTC	2011-09-09 17:58:26.657000 UTC		300	10	1	57		
1293	jason saldo	"<p>I seek not to know the answers, but to understand the questions.<br>
-Caine (Kung Fu)</p>"		2008-08-14 12:38:08.313000 UTC	2022-09-15 13:26:46.500000 UTC	New York, NY	9644	765	73	941		http://about.me/saldo
2461	Zack Elan			2008-08-22 12:19:10.733000 UTC	2020-12-13 05:19:43.553000 UTC		1666	167	2	233		http://example.com
2899	Tom Juergens	<p>IT Consultant, mainly with DotNet and SQL, but plenty of other technologies thrown in so things don't get too boring... Outside the office: Cheerleader and gymnast!</p>		2008-08-25 20:31:14.770000 UTC	2021-03-07 17:21:45.383000 UTC	Berlin, Germany	4392	1294	5	292		http://www.ciber.de/
5166	Neil Burroughs			2008-09-08 10:13:17.307000 UTC	2009-02-19 17:29:30.437000 UTC		489	14	0	71		
5507	Pavel Feldman			2008-09-10 04:51:24.317000 UTC	2021-05-05 02:57:02.337000 UTC	Vancouver, Canada	4541	255	9	1142		
7381	Lanzelot	"<p>Studied Mathematics and started programming with FORTRAN. Now a professional programmer in Java, C and C++.</p>

<p>Interests: Civilization, Chess, Cycling</p>"		2008-09-15 13:38:45.850000 UTC	2022-05-27 09:24:53.263000 UTC		15262	73	6	360		http://Donthaveone
10105	ADEpt	Freelance telecom expert, functional programming geek, linux user		2008-09-15 21:13:16.130000 UTC	2022-09-04 15:14:35.623000 UTC	London, United Kingdom	5444	247	9	501		http://pro-gsm.info
11135	bovium	I'm primarily interested in good software design, patterns, TDD, DDD and Microsoft technologies C#, .net, MSSQL.		2008-09-16 05:26:36.680000 UTC	2012-09-21 11:25:39.803000 UTC	Denmark	2839	161	10	293		http://boviumthomsen.googlepages.com/
11974	masto			2008-09-16 12:41:30.987000 UTC	2012-03-28 21:50:49.853000 UTC	United States	1366	6	1	139		
13185	ben.prew			2008-09-16 17:33:17.227000 UTC	2016-08-03 00:53:20.197000 UTC	Portland, OR	56	6	0	122		
14572	terrace			2008-09-17 01:10:23.370000 UTC	2021-03-12 23:47:26.190000 UTC		734	148	6	97	https://www.gravatar.com/avatar/47aa4d3fa0196a42bfbfbc4bcc34b759?s=128&d=identicon&r=PG&f=1	
14659	Antonio	I point out the obvious so you don't have to.		2008-09-17 01:49:08.660000 UTC	2022-08-29 15:40:14.180000 UTC	Panama	313	80	0	24		http://tourino.org
17530	Chris Parkinson	"<p>BY DAY: Lead CMS Developer for Control F1 Ltd - A Huddersfield based software development company.</p>

<p>BY NIGHT: Passionate music fan / vinyl collector with eclectic taste and guitarist for a couple of local bands.</p>"		2008-09-18 10:54:06.203000 UTC	2016-05-16 09:58:44.287000 UTC	Huddersfield, United Kingdom	216	12	0	51	https://i.stack.imgur.com/j9HTI.jpg?s=128&g=1	http://www.controlf1.co.uk
18703	Hace	"<p>Developer in .NET and Go, Golang.
For more detailed information please see my webpage in the links section :)</p>"		2008-09-19 09:53:39.087000 UTC	2022-09-22 13:47:48.093000 UTC	Netherlands	1392	100	4	118		http://www.mellekoning.nl/
19511	user19511			2008-09-20 06:16:30.977000 UTC	2010-05-01 00:06:11.997000 UTC		236	2	0	13		
23202	Yuval			2008-09-28 15:30:44.593000 UTC	2011-05-09 12:24:21.320000 UTC		1382	15	3	92		
23355	Jiminy	At 15 years old I fell in to the bottle. At the bottom I found programming. I've never left.		2008-09-29 05:50:06.260000 UTC	2018-03-27 00:26:19.560000 UTC	Melbourne, Australia	605	159	0	235		
25312	SWB			2008-10-05 18:53:44.387000 UTC	2022-09-20 06:47:49.727000 UTC	New Albany, IN	1413	146	2	109		
25571	yoyoyoyosef			2008-10-06 17:34:26.590000 UTC	2022-09-23 18:21:56.767000 UTC		6780	548	3	331	https://www.gravatar.com/avatar/07efa901c09b88b0bd219b627240969c?s=128&d=identicon&r=PG&f=1	
27344	fred smith			2008-10-13 08:09:54.640000 UTC	2011-12-16 00:07:14.137000 UTC		349	0	0	23		
30039	Mike Dillamore	<p>Web Developer and Architect - .NET Python</p>		2008-10-21 17:36:25.117000 UTC	2022-07-27 15:44:53.500000 UTC	United Kingdom	198	9	0	64		http://a8n.com
30881	mhamrah	<p>Principal Engineer, Getty Images</p>		2008-10-23 16:55:15.387000 UTC	2022-04-20 13:47:50.647000 UTC	New York, NY	8538	68	0	230		http://www.michaelhamrah.com/
33161	Johan			2008-10-31 17:37:30.123000 UTC	2021-08-31 16:11:47.940000 UTC	Beccles, UK	405	65	4	69		
36223	DaveB			2008-11-10 16:05:15.827000 UTC	2022-09-23 09:12:57.240000 UTC	Canada	1678	29	9	159	https://i.stack.imgur.com/bh9Vd.png	
37269	Hans Løken			2008-11-13 08:15:05.277000 UTC	2022-09-21 09:13:21.967000 UTC	Oslo, Norway	406	273	8	125		
38787	djuth	<p>Web application developer, Microsoft Certified Professional Developer, database application development, javascript, front-end development.</p>		2008-11-19 01:52:31.717000 UTC	2022-09-21 23:36:03.303000 UTC	Boyce, Virginia, United States	985	455	3	141		http://www.davidjuth.com/
41939	davorp	"<p>Software engineer with interest in backend development, high-availability, distributed systems, disruptive business.</p>

<p>Currently working on real-time data analytics with Kafka, Redis and druid.io.</p>

<p>OBDII enthusiast. IoT enthusiast. Cinephile. Windsurfer.</p>

<ul>
<li><a href=""http://careers.stackoverflow.com/dpoldrugo"">Davor @ Careers</a></li>
<li><a href=""http://hr.linkedin.com/in/dpoldrugo"" rel=""nofollow"">Davor @ LinkedIn</a></li>
</ul>"		2008-11-30 14:28:59.380000 UTC	2022-09-23 14:25:32.150000 UTC		3996	223	3	225		https://about.me/davor.poldrugo
46054	finpingvin			2008-12-14 00:25:55.660000 UTC	2021-06-09 06:44:58.037000 UTC	Sweden	694	31	3	198		
46478	OJW	<p>merge delete</p>		2008-09-24 09:52:32.237000 UTC	2022-09-22 17:18:45.493000 UTC		4429	151	25	366	https://www.gravatar.com/avatar/e123863701ae101414e0c664fe9274ad?s=128&d=identicon&r=PG&f=1	
47145	user47145			2008-12-17 17:24:36.990000 UTC	2009-01-30 05:29:02.300000 UTC		1765	43	0	79		
47636	Sam			2008-12-19 03:30:20.540000 UTC	2020-08-13 07:21:51.990000 UTC	Perth, Australia	4684	134	2	370		http://samritchie.net
53484	Ryan M	<h1>SOreadytohelp</h1>		2009-01-09 19:40:26.930000 UTC	2022-03-25 19:42:19.150000 UTC	San Ramon, CA	1651	78	19	112		
55905	jpgoulet			2009-01-16 16:45:10.237000 UTC	2020-11-04 00:24:51.907000 UTC		169	22	2	39		http://www.cimetech.com
58348	Bob Smith			2009-01-23 16:45:12.600000 UTC	2009-02-05 20:40:41.467000 UTC		791	0	0	97		
66434	Dennis Kempin			2009-02-14 13:32:28.573000 UTC	2017-10-18 16:14:38.687000 UTC	Aachen, Germany	1138	43	1	114		
72607	Jason Glover	<p>Serial Internet start-up starter-upper, .Net developer, culinary artist, poet, lover, freedom fighter, lunatic, Buell owner ...</p>		2009-03-02 02:28:15.547000 UTC	2022-09-19 19:38:35.997000 UTC	Seattle, WA, USA	599	31	7	112		http://nz.linkedin.com/in/jasonglover
