id	creation_date	post_id	vote_type_id
56908563	2013-11-07 00:00:00.000000 UTC	19506719	8
57366486	2013-11-15 00:00:00.000000 UTC	19986282	15
57391114	2013-11-15 00:00:00.000000 UTC	18818926	8
57526245	2013-11-18 00:00:00.000000 UTC	20050424	15
57748787	2013-11-21 00:00:00.000000 UTC	20131983	11
238968341	2021-09-21 00:00:00.000000 UTC	68904608	9
239274428	2021-09-27 00:00:00.000000 UTC	69337756	11
239369610	2021-09-28 00:00:00.000000 UTC	69320344	9
239374312	2021-09-29 00:00:00.000000 UTC	69340738	15
155043347	2018-01-14 00:00:00.000000 UTC	48254292	11
155200844	2018-01-17 00:00:00.000000 UTC	48277908	9
43397435	2013-03-18 00:00:00.000000 UTC	7868509	15
43957369	2013-03-26 00:00:00.000000 UTC	15621337	9
44083326	2013-03-28 00:00:00.000000 UTC	15638421	11
44136214	2013-03-29 00:00:00.000000 UTC	14304895	15
44181183	2013-03-30 00:00:00.000000 UTC	15716760	11
37193407	2012-11-28 00:00:00.000000 UTC	13605262	15
90375054	2015-06-01 00:00:00.000000 UTC	30437656	15
226301276	2021-02-12 00:00:00.000000 UTC	66069768	9
161748117	2018-04-20 00:00:00.000000 UTC	49587546	11
70752183	2014-06-29 00:00:00.000000 UTC	9883902	15
71051391	2014-07-04 00:00:00.000000 UTC	24265950	8
50404723	2013-07-13 00:00:00.000000 UTC	17628024	15
50419559	2013-07-14 00:00:00.000000 UTC	17611932	8
116817494	2016-06-26 00:00:00.000000 UTC	38011646	11
251620687	2022-05-19 00:00:00.000000 UTC	72306269	15
251930215	2022-05-25 00:00:00.000000 UTC	72381952	11
252295406	2022-06-02 00:00:00.000000 UTC	56451806	15
252300388	2022-06-02 00:00:00.000000 UTC	72460051	12
97404842	2015-09-15 00:00:00.000000 UTC	32579238	15
97429342	2015-09-15 00:00:00.000000 UTC	32593826	11
180577611	2019-02-09 00:00:00.000000 UTC	54602071	15
180907838	2019-02-14 00:00:00.000000 UTC	54684325	15
174394719	2018-11-01 00:00:00.000000 UTC	53108839	11
64453067	2014-03-14 00:00:00.000000 UTC	21827749	11
22232459	2011-12-17 00:00:00.000000 UTC	8543293	15
22245011	2011-12-17 00:00:00.000000 UTC	8539464	15
22697375	2012-01-02 00:00:00.000000 UTC	8703682	15
104192829	2015-12-28 00:00:00.000000 UTC	34487445	11
168362592	2018-07-31 00:00:00.000000 UTC	31291404	15
168461636	2018-08-01 00:00:00.000000 UTC	51631944	11
15165452	2011-05-19 00:00:00.000000 UTC	6054012	11
15281870	2011-05-23 00:00:00.000000 UTC	3420078	15
15411257	2011-05-27 00:00:00.000000 UTC	6145945	15
15492622	2011-05-30 00:00:00.000000 UTC	6176175	11
15611338	2011-06-02 00:00:00.000000 UTC	6220360	11
15721716	2011-06-07 00:00:00.000000 UTC	6253304	15
15793426	2011-06-09 00:00:00.000000 UTC	6287078	15
200309560	2019-12-25 00:00:00.000000 UTC	59477120	11
29874529	2012-06-28 00:00:00.000000 UTC	11248399	15
30031351	2012-07-03 00:00:00.000000 UTC	4546578	15
30179005	2012-07-06 00:00:00.000000 UTC	11357569	11
187023743	2019-05-17 00:00:00.000000 UTC	56148031	8
123444611	2016-10-03 00:00:00.000000 UTC	39837572	11
212918778	2020-07-08 00:00:00.000000 UTC	62784271	15
212990592	2020-07-08 00:00:00.000000 UTC	62802905	11
213109978	2020-07-10 00:00:00.000000 UTC	62831753	15
213452802	2020-07-15 00:00:00.000000 UTC	62915548	15
77160556	2014-10-22 00:00:00.000000 UTC	24382985	8
110295190	2016-03-23 00:00:00.000000 UTC	36156736	15
148751389	2017-10-09 00:00:00.000000 UTC	46536751	9
142395708	2017-07-08 00:00:00.000000 UTC	44850976	8
142493525	2017-07-10 00:00:00.000000 UTC	44041674	15
220002103	2020-10-30 00:00:00.000000 UTC	64536415	9
193220874	2019-08-28 00:00:00.000000 UTC	57697709	15
193277282	2019-08-29 00:00:00.000000 UTC	57665421	8
193327504	2019-08-30 00:00:00.000000 UTC	57724140	11
194049626	2019-09-12 00:00:00.000000 UTC	34730941	9
246297767	2022-02-05 00:00:00.000000 UTC	70998378	15
246877636	2022-02-16 00:00:00.000000 UTC	70983032	9
57854274	2013-11-23 00:00:00.000000 UTC	20158709	15
58339494	2013-12-03 00:00:00.000000 UTC	20343135	11
58605941	2013-12-06 00:00:00.000000 UTC	19762450	15
58672399	2013-12-08 00:00:00.000000 UTC	20436473	15
2168567	2009-04-06 00:00:00.000000 UTC	672692	9
245949642	2022-01-30 00:00:00.000000 UTC	70861106	15
57316791	2013-11-14 00:00:00.000000 UTC	19914856	11
57673825	2013-11-20 00:00:00.000000 UTC	20104251	15
238612557	2021-09-15 00:00:00.000000 UTC	69189409	12
238646857	2021-09-15 00:00:00.000000 UTC	69165440	8
238830522	2021-09-19 00:00:00.000000 UTC	69240533	15
239224567	2021-09-26 00:00:00.000000 UTC	69334925	15
239567846	2021-10-02 00:00:00.000000 UTC	68268984	11
8521894	2010-07-08 00:00:00.000000 UTC	3208788	11
135863785	2017-04-03 00:00:00.000000 UTC	41871292	15
135927990	2017-04-04 00:00:00.000000 UTC	43075535	9
232824851	2021-06-01 00:00:00.000000 UTC	67663677	15
155349300	2018-01-18 00:00:00.000000 UTC	18676858	15
43845512	2013-03-25 00:00:00.000000 UTC	14789947	15
43895746	2013-03-26 00:00:00.000000 UTC	15603140	9
44153790	2013-03-29 00:00:00.000000 UTC	15651172	8
90817549	2015-06-08 00:00:00.000000 UTC	12971840	15
225840653	2021-02-05 00:00:00.000000 UTC	66065404	9
225871954	2021-02-06 00:00:00.000000 UTC	66074072	4
226121436	2021-02-10 00:00:00.000000 UTC	65981564	9
161635141	2018-04-18 00:00:00.000000 UTC	49777725	8
161785437	2018-04-20 00:00:00.000000 UTC	49929314	11
70423484	2014-06-23 00:00:00.000000 UTC	24371849	15
70519267	2014-06-25 00:00:00.000000 UTC	24402944	11
70579582	2014-06-26 00:00:00.000000 UTC	24279720	9
